DCid	species	factor	factor_type	GSM	GSE	cellLine	CellType	Tissue	res_path	res_size	narrowPeak	peakXls	bigwig	summit	RP	X5foldPeakRP	json	bam	TreatOrControlReplicates	ReadLength	FastQC	RawReadsNumber	UniquelyMappedReadsNumber	UniquelyMappedRatio	PBC	FRiP	PeaksNumber	PeaksFoldChange..10	PeaksFoldChange..20	FragmentSize	ChIPReplicatesPairwiseLabels	ReplicatesOverlapRatio	ReplicatesWigCorrelation	MergedPeaksNumber	MergedPeaksFoldChange..10	MergedPeaksFoldChange..20	MergedPeaksPromoterPercentage	MergedPeaksExonPercentage	MergedPeaksIntronPercentage	MergedPeaksIntergenicPercentage	MergedPeaksUnionDHSRatio
3092	Homo_sapiens	DNase	ca	GSM701539	GSE51336	None	T_Lymphocyte	Blood	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3092	166M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3092/3092_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3092/3092_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3092/3092_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3092/3092_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3092/attic/3092_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3092/attic/3092_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3092/attic/json	NA	3092_treat_rep1	36	37	37357732	28011745	0.7498	0.92	0.527799	63331	29920	5941	56	NA	NA	NA	63331	29920	5941	0.167613322	0.089913773	0.380586979	0.361885927	0.9758
3093	Homo_sapiens	DNase	ca	GSM701538	GSE51336	None	None	Fetal_Stomach	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3093	248M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3093/3093_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3093/3093_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3093/3093_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3093/3093_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3093/attic/3093_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3093/attic/3093_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3093/attic/json	NA	3093_treat_rep1	36	37	38031203	30607234	0.8048	0.976	0.3164045	134014	30130	1677	55	NA	NA	NA	134014	30130	1677	0.105317806	0.060087696	0.406137252	0.428457246	0.975
3094	Homo_sapiens	DNase	ca	GSM701537	GSE18927	None	T_Lymphocyte	Fetal_Thymus	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3094	244M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3094/3094_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3094/3094_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3094/3094_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3094/3094_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3094/attic/3094_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3094/attic/3094_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3094/attic/json	NA	3094_treat_rep1	36	36	37155420	28974700	0.7798	0.983	0.20181675	64566	23206	1631	58	NA	NA	NA	64566	23206	1631	0.157579333	0.0810408	0.388110911	0.373268956	0.9714
3095	Homo_sapiens	DNase	ca	GSM701536	GSE51336	None	None	Fetal_Muscle_Back	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3095	233M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3095/3095_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3095/3095_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3095/3095_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3095/3095_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3095/attic/3095_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3095/attic/3095_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3095/attic/json	NA	3095_treat_rep1	36	36	35254220	28971547	0.8218	0.97	0.40647125	159694	42525	3434	57	NA	NA	NA	159694	42525	3434	0.086104792	0.051694209	0.401552894	0.460648105	0.974
3096	Homo_sapiens	DNase	ca	GSM701535	GSE18927	None	None	Fetal_Muscle_Arm	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3096	249M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3096/3096_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3096/3096_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3096/3096_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3096/3096_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3096/attic/3096_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3096/attic/3096_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3096/attic/json	NA	3096_treat_rep1	36	36	37487061	30128475	0.8037	0.977	0.33539325	142098	33388	2011	61	NA	NA	NA	142098	33388	2011	0.08999845	0.053001592	0.396138294	0.460861663	0.974
3097	Homo_sapiens	DNase	ca	GSM701534	GSE18927	None	Epithelium	Fetal_Lung_Left	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3097	109M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3097/3097_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3097/3097_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3097/3097_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3097/3097_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3097/attic/3097_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3097/attic/3097_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3097/attic/json	NA	3097_treat_rep1	36	36	20361055	11772664	0.5782	0.964	0.3553685	104828	30575	2263	63	NA	NA	NA	104828	30575	2263	0.102966308	0.051086946	0.403902886	0.44204386	0.9696
3098	Homo_sapiens	DNase	ca	GSM701533	GSE51336	None	None	Fetal_Muscle_Trunk	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3098	237M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3098/3098_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3098/3098_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3098/3098_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3098/3098_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3098/attic/3098_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3098/attic/3098_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3098/attic/json	NA	3098_treat_rep1	36	37	36964447	30547593	0.8264	0.967	0.412845	150954	40928	3502	57	NA	NA	NA	150954	40928	3502	0.087806075	0.053513768	0.403113625	0.455566533	0.975
3099	Homo_sapiens	DNase	ca	GSM701532	GSE51336	None	Cortex	Fetal_Kidney	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3099	246M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3099/3099_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3099/3099_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3099/3099_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3099/3099_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3099/attic/3099_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3099/attic/3099_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3099/attic/json	NA	3099_treat_rep1	36	37	36812989	29856250	0.811	0.978	0.336764	144242	32811	1712	57	NA	NA	NA	144242	32811	1712	0.094528572	0.057788666	0.399586381	0.448096382	0.9744
3100	Homo_sapiens	DNase	ca	GSM701531	GSE51336	None	Epithelium	Fetal_Large_Intestine	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3100	257M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3100/3100_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3100/3100_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3100/3100_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3100/3100_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3100/attic/3100_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3100/attic/3100_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3100/attic/json	NA	3100_treat_rep1	36	36	36340215	29764918	0.8191	0.984	0.2601775	107112	34059	1554	60	NA	NA	NA	107112	34059	1554	0.111485097	0.056518568	0.407569468	0.424426867	0.9644
3101	Homo_sapiens	DNase	ca	GSM701530	GSE18927	None	Epithelium	Fetal_Small_Intestine	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3101	196M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3101/3101_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3101/3101_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3101/3101_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3101/3101_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3101/attic/3101_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3101/attic/3101_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3101/attic/json	NA	3101_treat_rep1	36	37	28083061	22370722	0.7966	0.981	0.3123125	117746	35151	1013	55	NA	NA	NA	117746	35151	1013	0.107964737	0.056566721	0.408752795	0.426715747	0.9662
3102	Homo_sapiens	DNase	ca	GSM701529	GSE18927	None	Cortex	Fetal_Kidney	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3102	183M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3102/3102_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3102/3102_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3102/3102_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3102/3102_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3102/attic/3102_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3102/attic/3102_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3102/attic/json	NA	3102_treat_rep1	36	37	26806307	20277672	0.7565	0.984	0.22352775	90548	20475	705	57	NA	NA	NA	90548	20475	705	0.130561239	0.069582527	0.377937517	0.421918717	0.9732
3103	Homo_sapiens	DNase	ca	GSM701528	GSE51336	None	None	Fetal_Stomach	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3103	195M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3103/3103_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3103/3103_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3103/3103_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3103/3103_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3103/attic/3103_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3103/attic/3103_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3103/attic/json	NA	3103_treat_rep1	36	36	27551958	21387258	0.7763	0.989	0.13854675	67202	12366	115	55	NA	NA	NA	67202	12366	115	0.158673127	0.06957883	0.374357063	0.39739098	0.9666
